,	GeoArea_FIPS	GeoArea_Name	Date	Published_Value
129	37015	Bertie, NC	09-01-19	369379.63
130	37015	Bertie, NC	10-01-18	363048.16
131	37015	Bertie, NC	10-01-19	348727.81
132	37015	Bertie, NC	11-01-18	325447.04
133	37015	Bertie, NC	11-01-19	335726.29
134	37015	Bertie, NC	12-01-18	330656.6
135	37015	Bertie, NC	12-01-19	374772.04
136	37017	Bladen, NC	01-01-19	937674.71
137	37017	Bladen, NC	01-01-20	961446.94
138	37017	Bladen, NC	02-01-19	780251.6
139	37017	Bladen, NC	02-01-20	880296.61
140	37017	Bladen, NC	03-01-19	793584.0
141	37017	Bladen, NC	04-01-19	882572.11
142	37017	Bladen, NC	05-01-19	878961.18
143	37017	Bladen, NC	06-01-19	937615.62
144	37017	Bladen, NC	07-01-19	935443.87
145	37017	Bladen, NC	08-01-19	919721.84
146	37017	Bladen, NC	09-01-19	885889.05
147	37017	Bladen, NC	10-01-18	725839.5
148	37017	Bladen, NC	10-01-19	801291.74
149	37017	Bladen, NC	11-01-18	823004.44
150	37017	Bladen, NC	11-01-19	856332.93
151	37017	Bladen, NC	12-01-18	875237.01
152	37017	Bladen, NC	12-01-19	804809.26
153	37019	Brunswick, NC	01-01-19	6758762.6
154	37019	Brunswick, NC	01-01-20	7597567.62
155	37019	Brunswick, NC	02-01-19	6197739.37
156	37019	Brunswick, NC	02-01-20	6520443.09
157	37019	Brunswick, NC	03-01-19	6265610.84
158	37019	Brunswick, NC	04-01-19	7689134.75
159	37019	Brunswick, NC	05-01-19	7933440.44
160	37019	Brunswick, NC	06-01-19	8507008.34
161	37019	Brunswick, NC	07-01-19	10251966.74
162	37019	Brunswick, NC	08-01-19	10682191.46
163	37019	Brunswick, NC	09-01-19	9412856.29
164	37019	Brunswick, NC	10-01-18	5744403.6
165	37019	Brunswick, NC	10-01-19	7515544.49
166	37019	Brunswick, NC	11-01-18	7234165.87
167	37019	Brunswick, NC	11-01-19	7744296.79
168	37019	Brunswick, NC	12-01-18	6651887.09
169	37019	Brunswick, NC	12-01-19	6718447.14
170	37021	Buncombe, NC	01-01-19	25769616.77
171	37021	Buncombe, NC	01-01-20	26831072.82
172	37021	Buncombe, NC	02-01-19	18566342.6
173	37021	Buncombe, NC	02-01-20	20359404.62
174	37021	Buncombe, NC	03-01-19	18371475.66
175	37021	Buncombe, NC	04-01-19	22895548.71
176	37021	Buncombe, NC	05-01-19	22482331.21
177	37021	Buncombe, NC	06-01-19	23378632.0
178	37021	Buncombe, NC	07-01-19	24077378.96
179	37021	Buncombe, NC	08-01-19	23414034.84
180	37021	Buncombe, NC	09-01-19	23040062.72
181	37021	Buncombe, NC	10-01-18	24164781.61
182	37021	Buncombe, NC	10-01-19	23989131.5
183	37021	Buncombe, NC	11-01-18	24220622.39
184	37021	Buncombe, NC	11-01-19	24686920.34
185	37021	Buncombe, NC	12-01-18	23840649.31
186	37021	Buncombe, NC	12-01-19	24041363.91
187	37023	Burke, NC	01-01-19	3305501.22
188	37023	Burke, NC	01-01-20	3680728.87
189	37023	Burke, NC	02-01-19	2806882.23
190	37023	Burke, NC	02-01-20	2751399.85
191	37023	Burke, NC	03-01-19	2846390.3
192	37023	Burke, NC	04-01-19	3360080.76
193	37023	Burke, NC	05-01-19	3224131.11
194	37023	Burke, NC	06-01-19	3281410.46
195	37023	Burke, NC	07-01-19	3278484.39
196	37023	Burke, NC	08-01-19	3093676.32
197	37023	Burke, NC	09-01-19	3088110.52
198	37023	Burke, NC	10-01-18	2953600.12
199	37023	Burke, NC	10-01-19	3203470.5
200	37023	Burke, NC	11-01-18	3013812.77
201	37023	Burke, NC	11-01-19	3079500.29
202	37023	Burke, NC	12-01-18	2903943.74
203	37023	Burke, NC	12-01-19	3135706.17
204	37025	Cabarrus, NC	01-01-19	16700573.93
205	37025	Cabarrus, NC	01-01-20	17552491.45
206	37025	Cabarrus, NC	02-01-19	12861719.82
207	37025	Cabarrus, NC	02-01-20	13533176.02
208	37025	Cabarrus, NC	03-01-19	13073077.86
209	37025	Cabarrus, NC	04-01-19	15757329.2
210	37025	Cabarrus, NC	05-01-19	15265360.59
211	37025	Cabarrus, NC	06-01-19	15532943.12
212	37025	Cabarrus, NC	07-01-19	15271704.4
213	37025	Cabarrus, NC	08-01-19	14488119.26
214	37025	Cabarrus, NC	09-01-19	14826317.66
215	37025	Cabarrus, NC	10-01-18	14335665.9
216	37025	Cabarrus, NC	10-01-19	14603170.76
217	37025	Cabarrus, NC	11-01-18	14064535.26
218	37025	Cabarrus, NC	11-01-19	14374043.46
219	37025	Cabarrus, NC	12-01-18	14797783.98
220	37025	Cabarrus, NC	12-01-19	15089602.78
221	37027	Caldwell, NC	01-01-19	2726693.01
222	37027	Caldwell, NC	01-01-20	3015517.49
223	37027	Caldwell, NC	02-01-19	2244860.52
224	37027	Caldwell, NC	02-01-20	2287303.35
225	37027	Caldwell, NC	03-01-19	2348855.55
226	37027	Caldwell, NC	04-01-19	2695082.43
227	37027	Caldwell, NC	05-01-19	2581494.49
228	37027	Caldwell, NC	06-01-19	2741208.37
229	37027	Caldwell, NC	07-01-19	2788564.76
230	37027	Caldwell, NC	08-01-19	2563636.51
231	37027	Caldwell, NC	09-01-19	2649057.95
232	37027	Caldwell, NC	10-01-18	2524343.18
233	37027	Caldwell, NC	10-01-19	2668478.35
234	37027	Caldwell, NC	11-01-18	2362580.86
235	37027	Caldwell, NC	11-01-19	2536179.03
236	37027	Caldwell, NC	12-01-18	2574934.67
237	37027	Caldwell, NC	12-01-19	2690986.6
238	37029	Camden, NC	01-01-19	223920.15
239	37029	Camden, NC	01-01-20	279391.07
240	37029	Camden, NC	02-01-19	206227.92
241	37029	Camden, NC	02-01-20	224670.87
242	37029	Camden, NC	03-01-19	191560.49
243	37029	Camden, NC	04-01-19	279546.0
244	37029	Camden, NC	05-01-19	236648.19
245	37029	Camden, NC	06-01-19	221475.38
246	37029	Camden, NC	07-01-19	280324.73
247	37029	Camden, NC	08-01-19	238380.29
248	37029	Camden, NC	09-01-19	240867.68
249	37029	Camden, NC	10-01-18	216319.26
250	37029	Camden, NC	10-01-19	236976.26
251	37029	Camden, NC	11-01-18	202404.17
252	37029	Camden, NC	11-01-19	229403.93
253	37029	Camden, NC	12-01-18	213030.87
254	37029	Camden, NC	12-01-19	231457.13
255	37031	Carteret, NC	01-01-19	5023057.21
256	37031	Carteret, NC	01-01-20	4901920.99
257	37031	Carteret, NC	02-01-19	4381189.42
258	37031	Carteret, NC	02-01-20	4133573.48
259	37031	Carteret, NC	03-01-19	4166188.05
260	37031	Carteret, NC	04-01-19	5410929.36
261	37031	Carteret, NC	05-01-19	5557428.43
262	37031	Carteret, NC	06-01-19	6158511.13
263	37031	Carteret, NC	07-01-19	7322191.52
264	37031	Carteret, NC	08-01-19	7192594.42
