	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
16221	37089	FIPS_37089	Henderson County	Western	Mountain Area	   Health care and social assistance	2009	298769.0
16222	37089	FIPS_37089	Henderson County	Western	Mountain Area	   Arts, entertainment, and recreation	2009	29231.0
16223	37089	FIPS_37089	Henderson County	Western	Mountain Area	   Accommodation and food services	2009	90091.0
16224	37089	FIPS_37089	Henderson County	Western	Mountain Area	  Other services (except government and government enterprises)	2009	92260.0
16225	37089	FIPS_37089	Henderson County	Western	Mountain Area	Government and government enterprises	2009	354226.0
16226	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Agriculture, forestry, fishing and hunting	2009	23907.0
16227	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Mining, quarrying, and oil and gas extraction	2009	0.0
16228	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Utilities	2009	8349.0
16229	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Construction	2009	20872.0
16230	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Manufacturing	2009	144531.0
16231	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Wholesale trade	2009	28458.0
16232	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Retail trade	2009	41101.0
16233	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Transportation and warehousing	2009	4886.0
16234	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Information	2009	7132.0
16235	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Real estate and rental and leasing	2009	95388.0
16236	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Professional and business services	2009	37810.0
16237	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Management of companies and enterprises	2009	788.0
16238	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Administrative and support and waste management and remediation services	2009	30500.0
16239	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Educational services	2009	
16240	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Health care and social assistance	2009	
16241	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Arts, entertainment, and recreation	2009	485.0
16242	37091	FIPS_37091	Hertford County	Northeast	Region Q	   Accommodation and food services	2009	12371.0
16243	37091	FIPS_37091	Hertford County	Northeast	Region Q	  Other services (except government and government enterprises)	2009	16552.0
16244	37091	FIPS_37091	Hertford County	Northeast	Region Q	Government and government enterprises	2009	97794.0
16245	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Agriculture, forestry, fishing and hunting	2009	15444.0
16246	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Mining, quarrying, and oil and gas extraction	2009	131.0
16247	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Utilities	2009	874.0
16248	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Construction	2009	39516.0
16249	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Manufacturing	2009	715811.0
16250	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Wholesale trade	2009	17413.0
